dataset,Subject,SubjCode,Type,TypeCode,n1,n2,nsmall,nlarge,Accuracy,Updating,Loops,Trial,L,C,R,age
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,1,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,2,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,3,4,NA,3,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,4,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,5,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,6,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,7,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,8,4,NA,5,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,9,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,10,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,11,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,12,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,13,3,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,14,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,15,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,16,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,17,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,18,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,19,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,20,5,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,21,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,22,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,23,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,24,5,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,1,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,2,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,3,4,NA,3,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,4,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,5,4,NA,5,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,6,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,7,4,NA,3,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,8,5,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,9,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,10,4,NA,5,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,11,3,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,12,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,13,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,14,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,3,3,4,0,4,,15,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,16,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,17,3,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,18,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,19,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,20,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,21,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,22,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,23,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,24,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,1,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,2,3,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,3,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,4,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,5,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,6,3,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,7,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,8,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,9,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,3,3,4,0,4,,10,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,11,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,12,4,NA,5,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,13,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,14,4,NA,3,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,15,5,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,16,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,17,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,18,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,19,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,20,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,21,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,3,3,4,0,4,,22,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,3,3,4,0,4,,23,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,24,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,2,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,3,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,6,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,7,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,8,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,12,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,13,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,14,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,16,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,19,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,21,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,0,4,,22,4,NA,3,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,3,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,4,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,6,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,9,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,12,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,15,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,16,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,19,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,20,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,21,4,NA,3,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,22,3,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,0,4,,24,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,3,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,4,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,6,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,8,4,NA,5,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,9,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,12,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,17,4,NA,5,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,19,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,20,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,21,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,22,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,24,4,NA,3,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,2,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,3,5,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,1,4,,7,3,NA,4,Adults
addition,Pearl,5,1to1,3,3,4,3,4,0,4,,8,3,NA,4,Adults
addition,Pearl,5,1to1,3,5,4,4,5,0,5,,10,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,5,4,5,1,5,,11,4,NA,5,Adults
addition,Pearl,5,1to1,3,4,5,4,5,0,5,,12,4,NA,5,Adults
addition,Pearl,5,1to1,3,5,4,4,5,1,5,,14,5,NA,4,Adults
addition,Pearl,5,1to1,3,4,3,3,4,1,4,,16,4,NA,3,Adults
