subject,gender,spanish,household,age,math,education,n1,n2,ntrials,ncorrect
100,M,None,5,76,0,0,1,2,1,1
100,M,None,5,76,0,0,1,2,1,1
100,M,None,5,76,0,0,2,3,1,1
100,M,None,5,76,0,0,2,3,1,1
100,M,None,5,76,0,0,3,4,1,1
100,M,None,5,76,0,0,3,4,1,1
100,M,None,5,76,0,0,4,5,1,1
100,M,None,5,76,0,0,4,5,1,1
100,M,None,5,76,0,0,5,6,1,1
100,M,None,5,76,0,0,5,6,1,1
100,M,None,5,76,0,0,6,7,1,1
100,M,None,5,76,0,0,6,7,1,1
100,M,None,5,76,0,0,7,8,1,0
100,M,None,5,76,0,0,6,7,1,1
100,M,None,5,76,0,0,6,7,1,1
100,M,None,5,76,0,0,7,8,1,0
100,M,None,5,76,0,0,6,7,1,1
100,M,None,5,76,0,0,6,7,1,1
100,M,None,5,76,0,0,7,8,1,0
100,M,None,5,76,0,0,6,7,1,1
100,M,None,5,76,0,0,6,7,1,1
100,M,None,5,76,0,0,7,8,1,1
100,M,None,5,76,0,0,7,8,1,0
100,M,None,5,76,0,0,6,7,1,1
100,M,None,5,76,0,0,6,7,1,1
100,M,None,5,76,0,0,7,8,1,0
100,M,None,5,76,0,0,6,7,1,1
100,M,None,5,76,0,0,6,7,1,1
100,M,None,5,76,0,0,7,8,1,1
100,M,None,5,76,0,0,7,8,1,0
101,M,None,5,40,0.25,0,1,2,1,1
101,M,None,5,40,0.25,0,1,2,1,1
101,M,None,5,40,0.25,0,2,3,1,0
101,M,None,5,40,0.25,0,1,2,1,1
101,M,None,5,40,0.25,0,1,2,1,1
101,M,None,5,40,0.25,0,2,3,1,1
101,M,None,5,40,0.25,0,2,3,1,1
101,M,None,5,40,0.25,0,3,4,1,1
101,M,None,5,40,0.25,0,3,4,1,0
101,M,None,5,40,0.25,0,2,3,1,0
101,M,None,5,40,0.25,0,1,2,1,1
101,M,None,5,40,0.25,0,1,2,1,1
101,M,None,5,40,0.25,0,2,3,1,1
101,M,None,5,40,0.25,0,2,3,1,1
101,M,None,5,40,0.25,0,3,4,1,1
101,M,None,5,40,0.25,0,3,4,1,0
101,M,None,5,40,0.25,0,2,3,1,1
101,M,None,5,40,0.25,0,2,3,1,0
101,M,None,5,40,0.25,0,1,2,1,1
101,M,None,5,40,0.25,0,1,2,1,1
101,M,None,5,40,0.25,0,2,3,1,1
101,M,None,5,40,0.25,0,2,3,1,1
101,M,None,5,40,0.25,0,3,4,1,1
101,M,None,5,40,0.25,0,3,4,1,1
101,M,None,5,40,0.25,0,4,5,1,1
101,M,None,5,40,0.25,0,4,5,1,1
101,M,None,5,40,0.25,0,5,6,1,0
101,M,None,5,40,0.25,0,4,5,1,1
101,M,None,5,40,0.25,0,4,5,1,0
101,M,None,5,40,0.25,0,3,4,1,0
102,M,Some,6,47,0.166666666666667,0,1,2,1,1
102,M,Some,6,47,0.166666666666667,0,1,2,1,1
102,M,Some,6,47,0.166666666666667,0,2,3,1,1
102,M,Some,6,47,0.166666666666667,0,2,3,1,1
102,M,Some,6,47,0.166666666666667,0,3,4,1,1
102,M,Some,6,47,0.166666666666667,0,3,4,1,1
102,M,Some,6,47,0.166666666666667,0,4,5,1,1
102,M,Some,6,47,0.166666666666667,0,4,5,1,1
102,M,Some,6,47,0.166666666666667,0,5,6,1,1
102,M,Some,6,47,0.166666666666667,0,5,6,1,1
102,M,Some,6,47,0.166666666666667,0,6,7,1,1
102,M,Some,6,47,0.166666666666667,0,6,7,1,0
102,M,Some,6,47,0.166666666666667,0,5,6,1,1
102,M,Some,6,47,0.166666666666667,0,5,6,1,0
102,M,Some,6,47,0.166666666666667,0,4,5,1,1
102,M,Some,6,47,0.166666666666667,0,4,5,1,1
102,M,Some,6,47,0.166666666666667,0,5,6,1,1
102,M,Some,6,47,0.166666666666667,0,5,6,1,0
102,M,Some,6,47,0.166666666666667,0,4,5,1,0
102,M,Some,6,47,0.166666666666667,0,3,4,1,1
102,M,Some,6,47,0.166666666666667,0,3,4,1,1
102,M,Some,6,47,0.166666666666667,0,4,5,1,1
102,M,Some,6,47,0.166666666666667,0,4,5,1,1
102,M,Some,6,47,0.166666666666667,0,5,6,1,0
102,M,Some,6,47,0.166666666666667,0,4,5,1,1
102,M,Some,6,47,0.166666666666667,0,4,5,1,0
102,M,Some,6,47,0.166666666666667,0,3,4,1,1
102,M,Some,6,47,0.166666666666667,0,3,4,1,1
102,M,Some,6,47,0.166666666666667,0,4,5,1,0
102,M,Some,6,47,0.166666666666667,0,3,4,1,0
103,F,None,13,39,0.25,2,1,2,1,1
103,F,None,13,39,0.25,2,1,2,1,1
103,F,None,13,39,0.25,2,1,2,1,1
103,F,None,13,39,0.25,2,1,2,1,1
103,F,None,13,39,0.25,2,2,3,1,1
103,F,None,13,39,0.25,2,2,3,1,1
